StartDate,StartTime,EndDate,EndTime,HoursAsleep,SleepQuality
"2020-05-15 00:00:00","2:03 AM","2020-05-15 00:00:00","8:11 AM",5.637,64%
"2020-06-12 00:00:00","1:44 AM","2020-06-12 00:00:00","8:28 AM",5.852,64%
"2020-06-01 00:00:00","12:10 AM","2020-06-01 00:00:00","6:47 AM",5.649,64%
"2020-05-29 00:00:00","12:24 AM","2020-05-29 00:00:00","8:13 AM",6.409,64%
"2019-11-03 00:00:00","11:23 PM","2019-11-04 00:00:00","6:52 AM",6.806,64%
"2020-01-18 00:00:00","12:57 AM","2020-01-18 00:00:00","8:00 AM",6.508,64%
"2019-10-23 00:00:00","12:16 AM","2019-10-23 00:00:00","7:17 AM",6.685,63%
"2021-10-07 00:00:00","1:15 AM","2021-10-07 00:00:00","6:50 AM",4.618,63%
"2020-05-22 00:00:00","3:05 AM","2020-05-22 00:00:00","8:19 AM",4.229,63%
"2021-02-08 00:00:00","12:43 AM","2021-02-08 00:00:00","8:01 AM",6.424,63%
"2020-04-28 00:00:00","12:30 AM","2020-04-28 00:00:00","6:56 AM",5.398,63%
"2021-02-16 00:00:00","12:24 AM","2021-02-16 00:00:00","7:52 AM",6.05,63%
"2020-03-12 00:00:00","12:31 AM","2020-03-12 00:00:00","7:12 AM",5.681,63%
"2020-03-10 00:00:00","11:12 PM","2020-03-11 00:00:00","7:10 AM",7.178,63%
"2020-09-07 00:00:00","3:11 AM","2020-09-07 00:00:00","10:13 AM",5.518,62%
"2020-09-28 00:00:00","1:09 AM","2020-09-28 00:00:00","8:13 AM",5.488,62%
"2021-02-09 00:00:00","1:10 AM","2021-02-09 00:00:00","7:42 AM",5.412,62%
"2020-01-14 00:00:00","12:06 AM","2020-01-14 00:00:00","7:14 AM",6.469,62%
"2019-11-04 00:00:00","11:38 PM","2019-11-05 00:00:00","7:03 AM",6.455,62%
"2020-03-17 00:00:00","1:53 AM","2020-03-17 00:00:00","7:55 AM",5.301,62%
"2021-04-09 00:00:00","1:22 AM","2021-04-09 00:00:00","8:08 AM",5.253,62%
"2020-03-20 00:00:00","12:46 AM","2020-03-20 00:00:00","8:03 AM",5.463,61%
"2021-02-21 00:00:00","1:55 AM","2021-02-21 00:00:00","8:23 AM",5.499,61%
"2020-05-04 00:00:00","11:54 PM","2020-05-05 00:00:00","7:08 AM",5.852,61%
"2020-06-28 00:00:00","1:50 AM","2020-06-28 00:00:00","7:20 AM",5.324,61%
"2020-09-15 00:00:00","2:38 AM","2020-09-15 00:00:00","8:20 AM",4.482,61%
"2019-12-09 00:00:00","12:56 AM","2019-12-09 00:00:00","7:15 AM",6.056,61%
"2020-03-09 00:00:00","12:36 AM","2020-03-09 00:00:00","7:15 AM",5.632,60%
"2020-11-03 00:00:00","1:51 AM","2020-11-03 00:00:00","8:12 AM",4.519,60%
"2019-10-25 00:00:00","12:58 AM","2019-10-25 00:00:00","7:13 AM",5.69,60%
"2020-01-27 00:00:00","12:41 AM","2020-01-27 00:00:00","7:07 AM",5.725,59%
"2021-04-27 00:00:00","1:16 AM","2021-04-27 00:00:00","8:04 AM",6.192,59%
"2021-07-22 00:00:00","1:27 AM","2021-07-22 00:00:00","7:01 AM",5.142,59%
"2020-09-19 00:00:00","3:40 AM","2020-09-19 00:00:00","9:41 AM",5.618,59%
"2020-06-08 00:00:00","2:11 AM","2020-06-08 00:00:00","8:11 AM",4.938,59%
"2020-09-14 00:00:00","2:03 AM","2020-09-14 00:00:00","8:10 AM",5.079,59%
"2020-02-23 00:00:00","2:19 AM","2020-02-23 00:00:00","8:04 AM",4.489,58%
"2019-10-24 00:00:00","12:40 AM","2019-10-24 00:00:00","7:09 AM",6.123,58%
"2021-04-06 00:00:00","12:17 AM","2021-04-06 00:00:00","6:04 AM",5.026,57%
"2020-01-22 00:00:00","11:52 PM","2020-01-23 00:00:00","7:10 AM",6.41,57%
"2021-04-21 00:00:00","12:11 AM","2021-04-21 00:00:00","7:52 AM",7.101,57%
"2020-05-01 00:00:00","1:41 AM","2020-05-01 00:00:00","8:05 AM",5.49,57%
"2021-09-25 00:00:00","1:26 AM","2021-09-25 00:00:00","7:31 AM",5.217,57%
"2020-10-08 00:00:00","2:17 AM","2020-10-08 00:00:00","8:12 AM",5.378,57%
"2019-10-31 00:00:00","10:53 PM","2019-11-01 00:00:00","7:08 AM",7.097,57%
"2020-04-15 00:00:00","1:47 AM","2020-04-15 00:00:00","7:14 AM",4.13,56%
"2019-12-10 00:00:00","11:56 PM","2019-12-11 00:00:00","7:13 AM",6.727,56%
"2021-04-25 00:00:00","2:08 AM","2021-04-25 00:00:00","9:20 AM",5.984,55%
"2020-05-20 00:00:00","2:31 AM","2020-05-20 00:00:00","8:14 AM",5.109,55%
"2020-01-09 00:00:00","12:04 AM","2020-01-09 00:00:00","7:12 AM",6.135,54%
"2020-09-08 00:00:00","2:07 AM","2020-09-08 00:00:00","8:00 AM",5.122,54%
"2022-01-05 00:00:00","1:42 AM","2022-01-05 00:00:00","8:16 AM",5.706,53%
"2020-03-09 00:00:00","9:48 PM","2020-03-10 00:00:00","6:18 AM",6.748,53%
"2021-05-19 00:00:00","12:51 AM","2021-05-19 00:00:00","5:56 AM",3.674,53%
"2019-12-05 00:00:00","11:51 PM","2019-12-06 00:00:00","7:13 AM",6.763,53%
"2020-01-20 00:00:00","11:37 PM","2020-01-21 00:00:00","7:10 AM",6.364,52%
"2020-07-01 00:00:00","11:58 PM","2020-07-02 00:00:00","4:54 AM",3.769,51%
"2020-05-04 00:00:00","2:07 AM","2020-05-04 00:00:00","8:06 AM",5.021,51%
"2020-01-02 00:00:00","12:41 AM","2020-01-02 00:00:00","7:05 AM",5.21,51%
"2019-12-28 00:00:00","1:11 AM","2019-12-28 00:00:00","8:33 AM",6.802,51%
"2020-06-03 00:00:00","1:28 AM","2020-06-03 00:00:00","7:05 AM",4.733,50%
"2020-04-18 00:00:00","1:05 AM","2020-04-18 00:00:00","9:09 AM",7.213,50%
"2020-02-09 00:00:00","1:03 AM","2020-02-09 00:00:00","7:36 AM",5.644,48%
"2019-11-12 00:00:00","1:34 AM","2019-11-12 00:00:00","7:15 AM",4.533,45%
"2021-05-11 00:00:00","11:58 PM","2021-05-12 00:00:00","4:34 AM",4.508,45%
"2019-12-31 00:00:00","1:05 AM","2019-12-31 00:00:00","7:10 AM",5.322,43%
"2020-05-26 00:00:00","1:07 AM","2020-05-26 00:00:00","6:06 AM",3.871,39%
"2020-03-15 00:00:00","11:23 PM","2020-03-16 00:00:00","7:12 AM",6.945,37%
"2020-03-19 00:00:00","2:10 AM","2020-03-19 00:00:00","8:04 AM",5.284,33%
"2020-06-28 00:00:00","7:21 AM","2020-06-28 00:00:00","10:25 AM",2.403,31%
"2020-01-12 00:00:00","1:01 AM","2020-01-12 00:00:00","7:32 AM",6.106,28%
"2020-05-25 00:00:00","11:55 PM","2020-05-26 00:00:00","1:07 AM",0.505,15%
